ID,keywords,acountType,joinedDate,following,followers,location,tweet,translatedTweet,tweetType,datePosted,contentType,likes,replies,retweets,quotes,zQuotes,quotedTweet
70,"peso, weak, dollar, strong",Anonymous,2013-05-31T16:00:00.000Z,600,400,Unidentified,"Tell me the peso is weak without telling me the peso is weak.

Answer: The dollar is strong.","Tell me the peso is weak without telling me the peso is weak.

Answer: The dollar is strong.",Text,2022-10-13T13:09:00.000Z,Rational,1,0,0,0,-0.11,None
71,"peso, weak, dollar, strong",Identified,2021-10-31T16:00:00.000Z,133,10,Philippines,"Peso is not weak
Because peso is weak
The peso is weak because
The dollar is strong
- cong. Sandro Marcos","Peso is not weak
Because peso is weak
The peso is weak because
The dollar is strong
- cong. Sandro Marcos",Text,2022-10-13T12:50:00.000Z,Rational,1,0,0,0,-0.11,None
72,"peso, weak, dollar, strong",Anonymous,2022-07-31T16:00:00.000Z,126,98,Unidentified,bakit naman ganyan Senator. the peso is not weak. the peso is weak because the dollar is strong. ganun yun,why is it like that Senator. the peso is not weak. the peso is weak because the dollar is strong. that's it,"Text,Quote",2022-10-13T11:26:00.000Z,Rational,1,0,0,0,-0.11,https://twitter.com/iampinglacson/status/1580411454070886400
73,"peso, weak, dollar, strong",Identified,2009-07-31T16:00:00.000Z,161,173,Philippines,No! The peso is too weak because the dollar is too strong. 🤪,No! The peso is too weak because the dollar is too strong. 🤪,"Text,Quote",2022-10-13T10:08:00.000Z,Emotional,0,0,0,0,-0.11,https://twitter.com/bookpoets/status/1580463648417361921
74,"peso, weak, dollar, strong",Anonymous,2020-07-31T16:00:00.000Z,224,22,Unidentified,"the peso is not weak because the peso is weak, its because the dollar is strong 😍💪💪 https://t.co/KLAQPZdyuD","the peso is not weak because the peso is weak, its because the dollar is strong 😍💪💪 https://t.co/KLAQPZdyuD","Text,Image",2022-10-13T10:04:00.000Z,Emotional,3,1,0,0,-0.11,None
75,"peso, weak, dollar, strong",Anonymous,2009-10-31T16:00:00.000Z,861,1095,Unidentified,Hindi weak ang peso ah. Strong lang ang dollar. Tandaan nyo yan 🤣,The peso is not weak. The dollar is just strong. Remember that 🤣,"Text,Quote",2022-10-13T09:32:00.000Z,Emotional,0,0,0,0,-0.11,https://twitter.com/ABSCBNNews/status/1580491029572190210
76,"peso, weak, dollar, strong",Anonymous,2021-08-31T16:00:00.000Z,116,50,Unidentified,"Peso is weak because the dollar is strong, and dollar is strong because it's one of the safest currency in the world. So, here I am putting some savings in USDT (Tether) Stablecoin. Because I won't let my hard-earned money be beaten by this worldwide inflation. #Cryptocurency","Peso is weak because the dollar is strong, and dollar is strong because it's one of the safest currency in the world. So, here I am putting some savings in USDT (Tether) Stablecoin. Because I won't let my hard-earned money be beaten by this worldwide inflation. #Cryptocurency",Text,2022-10-13T09:21:00.000Z,Rational,0,0,0,0,-0.11,None
77,"peso, weak, dollar, strong",Anonymous,2021-02-28T16:00:00.000Z,277,814,Unidentified,I would like to make one thing clear... the peso is not weak because the peso is weak. The peso is weak because the dollar is strong,I would like to make one thing clear... the peso is not weak because the peso is weak. The peso is weak because the dollar is strong,"Text,Quote",2022-10-13T09:09:00.000Z,Rational,2,1,0,0,-0.11,https://twitter.com/khjholdings/status/1580484704968769537
78,"peso, weak, dollar, strong",Identified,2009-09-30T16:00:00.000Z,270,636,Philippines,The peso is not weak because the peso is weak. The peso is weak because the dollar is strong.,The peso is not weak because the peso is weak. The peso is weak because the dollar is strong.,"Text,Quote",2022-10-13T08:29:00.000Z,Rational,1,0,0,0,-0.11,https://twitter.com/ABSCBNNews/status/1580470462077104129
79,"peso, weak, dollar, strong",Anonymous,2021-08-31T16:00:00.000Z,71,42,Unidentified,"""The peso is not weak because the peso is weak the peso is weak because the dollar is strong"" so simple dami kasing ebas","""The peso is not weak because the peso is weak the peso is weak because the dollar is strong"" it's so simple",Text,2022-10-13T01:29:00.000Z,Rational,0,0,0,0,-0.11,None
80,"peso, weak, dollar, strong",Anonymous,2018-10-31T16:00:00.000Z,223,205,Philippines,teacher pa naman kayo sa ecom tapos kayo pa yung di naka gets ng the peso is weak bcoz the dollar is strong. ano pa nga ba tatanda na kayo sa prvt school,you are a teacher in ecom yet you didn't understand the peso is weak because the dollar is strong. you are gonna get old in privateschool,Text,2022-10-12T23:28:00.000Z,Emotional,0,0,0,0,-0.11,None
81,"peso, weak, dollar, strong",Anonymous,2022-10-31T16:00:00.000Z,483,58,Unidentified,Sandro tama sa totoo.lng the peso is weak because the.dollor is strong ...kse nga di na kasalanan ng gobyerno un america rin kse nagpapataas nian para bumagsak.ang piso sino ba makikinabang ng pagtass ng dollar eh di ung mga nagaabroad ...saya nga nila kase nga mataas palitan ..,Sandro you are right truth be told the peso is weak because the dollar is strong ...it's not the government's fault it is america who increases the dollar's value for the peso to fall who will benefit from this it is those who are migrating to abroad...they are happy because the conversion rate is high ..,Text,2022-10-12T20:57:00.000Z,Rational,0,0,0,0,-0.11,None
82,"peso, weak, dollar, strong",Anonymous,2015-01-31T16:00:00.000Z,578,465,Unidentified,"The peso is not weak because the peso is weak, the peso is weak because the dollar is strong","The peso is not weak because the peso is weak, the peso is weak because the dollar is strong","Text,Quote",2022-10-12T18:09:00.000Z,Rational,0,0,0,0,-0.11,https://twitter.com/naayrhh/status/1579823328050958336
83,"peso, weak, dollar, strong",Anonymous,2020-07-31T16:00:00.000Z,306,389,Philippines,"I saw some people making fun of this statement, but what he said made sense. The peso is not weak because the peso is weak. The peso is weak because the dollar is strong! Pound to peso is still pretty much the same. It’s not weak, the dollar is just strong. 

Hang tough Sandro! https://t.co/PHcCRlMCEu","I saw some people making fun of this statement, but what he said made sense. The peso is not weak because the peso is weak. The peso is weak because the dollar is strong! Pound to peso is still pretty much the same. It’s not weak, the dollar is just strong. 

Hang tough Sandro! https://t.co/PHcCRlMCEu","Text,Image",2022-10-12T16:35:00.000Z,Rational,0,0,0,1,-0.1,None
84,"peso, weak, dollar, strong",Anonymous,2019-05-31T16:00:00.000Z,121,39,Philippines,"the peso is not weak because the peso is weak, the peso is weak because the dollar is strong","the peso is not weak because the peso is weak, the peso is weak because the dollar is strong","Text,Quote",2022-10-12T16:07:00.000Z,Rational,0,0,0,0,-0.11,https://twitter.com/JoaquinRedReyes/status/1580112771760283648
85,"peso, weak, dollar, strong",Anonymous,2021-08-31T16:00:00.000Z,520,200,Philippines,I don't understand bakit ginagawang joke yung statement ni sandro na “Peso is weak because dollar is strong” ??? Is there something wrong with the fact he stated????,I don't understand they are treating this statement of Sandro as a joke “Peso is weak because dollar is strong” ??? Is there something wrong with the fact he stated????,Text,2022-10-12T13:58:00.000Z,Emotional,1,0,0,0,-0.11,None
86,"peso, weak, dollar, strong",Anonymous,2016-05-31T16:00:00.000Z,145,125,Unidentified,I would like to make one thing clear...the peso is not weak because the peso is weak. The peso is weak because the dollar is strong. 😔✌🏼❤️💚,I would like to make one thing clear...the peso is not weak because the peso is weak. The peso is weak because the dollar is strong. 😔✌🏼❤️💚,Text,2022-10-12T12:36:00.000Z,"Rational, Emotional",2,1,0,0,-0.11,None
87,"peso, weak, dollar, strong",Anonymous,2022-02-28T16:00:00.000Z,2629,3018,Unidentified,"Sandro is not wrong, because he is wrong. Sandro is wrong because your brains are f*cked up &amp; don't understand simple english, math, &amp; econ.
For the stupid f*ckers out there, eat the data below!
The peso is not weak,coz the peso is weak. The peso is weak coz the dollar is strong. https://t.co/NUkjeku86E","Sandro is not wrong, because he is wrong. Sandro is wrong because your brains are f*cked up &don't understand simple english, math, & econ.
For the stupid f*ckers out there, eat the data below!
The peso is not weak, because the peso is weak. The peso is weak because the dollar is strong. https://t.co/NUkjeku86E","Text,Image",2022-10-12T06:57:00.000Z,"Rational, Emotional",137,15,30,4,-0.06,None
88,"peso, weak, dollar, strong",Identified,2019-10-31T16:00:00.000Z,224,296,Unidentified,"The peso is not weak because the peso is weak, the peso is weak because the dollar is strong","The peso is not weak because the peso is weak, the peso is weak because the dollar is strong",Text,2022-10-12T04:50:00.000Z,Rational,13,0,0,1,-0.1,None
89,"peso, weak, dollar, strong",Anonymous,2021-07-31T16:00:00.000Z,61,114,Philippines,"""The peso is not weak because the peso is weak. The peso is weak because the dollar is strong.""

Sobrang linaw pero hirap na hirap yung mga may indoctrinated braincell ni joma intindihin sinabi ni sandro.","""The peso is not weak because the peso is weak. The peso is weak because the dollar is strong.""

It's very clear but those who have an indoctrinated braincell of joma are having a very hard time in understanding what sandro said.",Text,2022-10-11T09:36:00.000Z,"Rational, Emotional",25,3,3,0,-0.11,None
90,"peso, dollar, sandro",Anonymous,2009-12-31T16:00:00.000Z,195,233,Philippines,"I think nothing is wrong sa statement ni Sandro boy sa peso-dollar shit. Thing is, people in the opposition loves to romanticize trivial things to put someone in a bad light. In fact, mas ulaw pa ang UNSLEFLESS gani, in all aspects of interpretation","I think nothing is wrong sa statement ni Sandro boy sa peso-dollar shit. Thing is, people in the opposition loves to romanticize trivial things to put someone in a bad light. In fact, UNSELFLESS is even more shameful, in all aspects of interpretation",Text,2022-10-12T11:17:00.000Z,Emotional,2,2,0,0,-0.11,None
91,"peso, dollar, sandro",Anonymous,2020-12-31T16:00:00.000Z,560,460,Unidentified,"yung mga totoong economista sang-ayon sa sinabi ni Sandro abt the peso vs dollar, pero yung mga feeling economista daming kuda hindi naman pala gets yung pinopoint out ng Congressman. Mag shut up nalang lage jud beh.","The real economists agree with what Sandro said about the peso vs dollar, but those fake economists who don't get what the Congressman is pointing out keeps on speaking up. Just shut up.",Text,2022-10-12T09:43:00.000Z,Emotional,0,0,0,0,-0.11,None
92,"peso, dollar, sandro",Anonymous,2022-02-28T16:00:00.000Z,462,387,Philippines,"Tama si Sandro, kung yung Indian Rupee nga eh 82 compared to US dollar  samantalang dati halos pantay lang yung value sa Phil. Peso.  Yun ang ibig sabihin ni Sandro, strong lang talaga ang US dollar.  Di lang magets ng iba o sadyang nagtatangatangahan, para makapanira lang.","Sandro is right, even the Indian Rupee is 82 compared to the US dollar, whereas before the value was almost equal to the Phil. pesos That's what Sandro meant, the US dollar is really strong. Othere just don't understand it or they are faking stupidity, just to be destructive.",Text,2022-10-12T08:36:00.000Z,"Rational, Emotional",4,0,0,0,-0.11,None
93,"peso, dollar, sandro",Identified,2020-05-31T16:00:00.000Z,310,272,Unidentified,"Cong. Sandro's comment about Peso VS Dollar made sense- but seems a lot of people did not get it. Either that, or they didn't listen to the explanation and just read the ""headline"".","Cong. Sandro's comment about Peso VS Dollar made sense- but seems a lot of people did not get it. Either that, or they didn't listen to the explanation and just read the ""headline"".",Text,2022-10-12T04:54:00.000Z,Rational,1,0,0,0,-0.11,None
94,"peso, dollar, sandro",Identified,2012-11-30T16:00:00.000Z,301,491,Philippines,"i don't like marcoses but what sandro said abt peso and dollar is true, kaya di ko magets yung reactions 😅","i don't like marcoses but what sandro said about peso and dollar is true, that's why I don't get the reactions 😅",Text,2022-10-12T03:42:00.000Z,Emotional,0,0,0,0,-0.11,None
95,"peso, dollar, sandro",Identified,2022-05-31T16:00:00.000Z,159,101,Unidentified,"Para sa mga lutang na walang humpay mag kritiko!

Yung iba kasi mga lutang di nila naintindihan sinasabi ni Sandro haist kaming mga ofw naintindihan nmin ibig sabihin nun 
Hindi talaga mahina ang peso
Mahina ang peso dahil nag taas ng halaga ng interest ang dollar!
Gets??? https://t.co/tjGJaL5ZUF","For those who are high and do not stop criticizing!

Other people who are high can't understand what Sandro is saying haist us ofw we understand the meaning of it
The peso is really not weak
The peso is just weak because the dollar's interest has increased!
Gets??? https://t.co/tjGJaL5ZUF","Text,Image",2022-10-12T03:13:00.000Z,Emotional,1,0,0,0,-0.11,None
96,"peso, weak, dollar, strong",Anonymous,2018-07-31T16:00:00.000Z,479,215,Unidentified,the peso 🅿️ is weak 😪 because 🤨 the dollar 💲 is strong 💪,the peso 🅿️ is weak 😪 because 🤨 the dollar 💲 is strong 💪,Text,2022-12-10T02:25:00.000Z,Emotional,1,0,0,0,-0.11,None
97,"peso, weak, dollar, strong",Anonymous,2021-07-31T16:00:00.000Z,61,114,Philippines,"Sandro: The peso is weak because the dollar is strong.

Economists &amp; Entrepreneurs: He's right.

Meanwhile..

Mga proud professors, Lawyers, PhD, MD:
*ginawan ng meme at joke yung sinabi ni sandro imbis i-analyze*

Ganito na ba mga ""professional"" ngayon? https://t.co/NJ4RwuXTfd","Sandro: The peso is weak because the dollar is strong.

Economists & Entrepreneurs: He's right.

Meanwhile..

Proud professors, Lawyers, PhD, MD:
*made meme and joke about what sandro said instead of analyzing*

Is this who ""professionals"" are today? https://t.co/NJ4RwuXTfd","Text,Image",2022-12-10T02:16:00.000Z,Rational,0,1,0,0,-0.11,None
98,"peso, weak, dollar, strong",Media,2013-03-31T16:00:00.000Z,62,2921,Philippines,"Memes satirize Sandro Marcos saying ‘peso is weak because dollar is strong’, but was he wrong? https://t.co/fllGXzmsiL https://t.co/IVFOxNw5KR","Memes satirize Sandro Marcos saying ‘peso is weak because dollar is strong’, but was he wrong? https://t.co/fllGXzmsiL https://t.co/IVFOxNw5KR","Text,URL",2022-12-10T02:01:00.000Z,Transactional,0,0,0,0,-0.11,None
99,"peso, weak, dollar, strong",Anonymous,2016-08-31T16:00:00.000Z,2493,1725,Unidentified,The peso is not weak because the peso is weak the peso is weak because the dollar is strong,The peso is not weak because the peso is weak the peso is weak because the dollar is strong,"Text,Quote",2022-12-10T01:49:00.000Z,Rational,0,0,0,0,-0.11,https://twitter.com/taksped/status/1580133241130201088
100,"peso, weak, dollar, strong",Anonymous,2018-01-31T16:00:00.000Z,1714,13645,Philippines,The peso is weak because the dollar is strong https://t.co/ZLG8wSSkKE,The peso is weak because the dollar is strong https://t.co/ZLG8wSSkKE,"Text,Image",2022-12-09T23:09:00.000Z,Rational,46,2,7,0,-0.11,None
101,"peso, weak, dollar, strong",Anonymous,2014-03-31T16:00:00.000Z,836,507,Philippines,"Malinaw naman pagkaka explain Doon ni Sandro pero Ewan ko ba bakit parang nka stick Lang sila dun sa peso is weak, not because pesos is weak
Pesos is weak because usd is strong.. Bat nga ba hirap sila unawain na malakas ang dollar kontra sa lahat NG currency sa buong mundo 🤓","Sandro explained it really well but I don't know why they are stuck in peso is weal, not because pesos is weak
Peso is weak because usd is strong.. Why is it so hard to understand that the dollar is very strong against every other currency in the world 🤓","Text,Quote",2022-12-10T13:57:00.000Z,Emotional,0,0,0,0,-0.11,https://twitter.com/jmy_perez/status/1579905723680817152
102,"peso, weak, dollar, strong",Anonymous,2019-07-31T16:00:00.000Z,180,111,Philippines,"Trend ngayon yung pagsabi ni Sandro ng 'The peso is weak because the dollar is strong', unang panood ko dun, nagets ko kasi pinanood ko yung explanation nya. Hindi naman ako ekonomista, pero yung points nya nagmemake sense naman, lah, paulit-ulit den naman sinasabi nya dba?","Sandro saying 'The peso is weak because the dollar is strong' is trending right now, when i first watched it, i understood it because i watched his explanation. I am not an economist, but his points make sense, lah, he keeps on repeating what he said right?",Text,2022-12-10T13:56:00.000Z,Rational,0,1,0,0,-0.11,None
103,"peso, weak, dollar, strong",Anonymous,2020-03-31T16:00:00.000Z,116,4982,Unidentified,People bashing Sandro Marcos for saying that peso is not really weak dollar is strong are people who lack comprehension or education on economics. Villar’s statement is an explanation for the dimwits. https://t.co/k46usK07G7,People bashing Sandro Marcos for saying that peso is not really weak dollar is strong are people who lack comprehension or education on economics. Villar’s statement is an explanation for the dimwits. https://t.co/k46usK07G8,"Text,Image",2022-12-10T04:25:00.000Z,Rational,45,6,9,3,-0.07,None
104,"peso, weak, dollar, strong",Anonymous,2022-05-31T16:00:00.000Z,302,1691,Philippines,"There is nothing wrong sa “pesos-is-weak-the-dollar-is-strong” statement ni Congressman Sandro, ang mas cringe and downright embarrasing is yung paggamit ni LENLEN ng #unselfless with conviction. 🤦‍♂

Go to FB post 
👉 https://t.co/tULkzkzFrm","There is nothing wrong with the “pesos-is-weak-the-dollar-is-strong” statement of Congressman Sandro, what cringier and more downright embarrasing is how LENLEN used #unselfless with conviction. 🤦‍♂

Go to FB post 
👉 https://t.co/tULkzkzFrm","Text,URL",2022-12-10T02:28:00.000Z,"Rational,Emotional",0,0,0,0,-0.11,None
105,"peso, weak, dollar, strong",Anonymous,2008-09-30T16:00:00.000Z,389,1917,Unidentified,"The Peso (₱) is weak not because it is weak. The Peso is weak because the Dollar ($) is strong.

@sandromarcos7 is right - just look at how Philippine Peso fare well with other currencies.

Don't be like Kakampwets — 'unselfless' lang kase naiintindihan nila. https://t.co/px5qZHFDdv","The Peso (₱) is weak not because it is weak. The Peso is weak because the Dollar ($) is strong.

@sandromarcos7 is right - just look at how Philippine Peso fare well with other currencies.

Don't be like Kakampwets — the only thing they understand 'unselfless'. https://t.co/px5qZHFDdv","Text,Image",2022-12-10T01:57:00.000Z,Rational,16,2,10,0,-0.11,None
106,"peso, weak, dollar, strong",Anonymous,2020-07-31T16:00:00.000Z,1934,739,Unidentified,A peso is not weak because the peso is weak. A peso is weak because the dollar is strong.,A peso is not weak because the peso is weak. A peso is weak because the dollar is strong.,"Text,Quote",2022-12-10T01:54:00.000Z,Rational,1,0,0,0,-0.11,https://twitter.com/lancedevanadera/status/1579825802350571522
107,"peso, weak, dollar, strong",Anonymous,2021-09-30T16:00:00.000Z,1057,730,Unidentified,"The peso is not weak, because the peso is weak. The peso is weak because the dollar is strong.","The peso is not weak, because the peso is weak. The peso is weak because the dollar is strong.",Text,2022-12-10T01:17:00.000Z,Rational,20,0,0,0,-0.11,None
108,"peso, weak, dollar, strong",Identified,2014-03-31T16:00:00.000Z,335,28,Unidentified,The Peso is not weak because the Peso is weak. The Peso is weak because the Dollar is strong. Gets naman sya kay sa don sa isa na pauso ng word na UNSELFLESS like WTF.,The Peso is not weak because the Peso is weak. The Peso is weak because the Dollar is strong. I get it more than the other one who came up with the word UNSELFLESS like WTF.,Text,2022-12-10T01:13:00.000Z,Rational,0,0,0,0,-0.11,None
109,"peso, weak, dollar, strong",Identified,2006-09-30T16:00:00.000Z,202,333,International,"Forex101 para sa mga bida:
Pag mataas ang dollar (since it’s a safe haven for investors), high yield currencies such as aud, eur, cad, gbp, etc will be low. In short, the peso is not weak bec the peso is weak. The peso is weak bec the dollar is strong 🤪 https://t.co/MHYgByESiS","Forex101 for show-offs:
If the dollar is high (since it’s a safe haven for investors), high yield currencies such as aud, eur, cad, gbp, etc will be low. In short, the peso is not weak because the peso is weak. The peso is weak because the dollar is strong 🤪 https://t.co/MHYgByESiS","Text,Image",2022-12-10T01:10:00.000Z,Emotional,4,0,0,0,-0.11,None
110,"peso, weak, dollar, strong",Anonymous,2008-10-31T16:00:00.000Z,8,2,Unidentified,Sandro Marcos says peso is weak not because it’s weak: Dollar is just strong now https://t.co/cFPzaZSJRb,Sandro Marcos says peso is weak not because it’s weak: Dollar is just strong now https://t.co/cFPzaZSJRb,"Text,URL",2022-12-10T00:32:00.000Z,Rational,0,0,0,0,-0.11,None
111,"peso, weak, dollar, strong",Identified,2020-11-30T16:00:00.000Z,927,857,International,"Ano kaya mali sa sinabi ni Sandro na ‘The peso is not weak because the peso is weak. The peso is weak because the dollar is strong.” Eh may explanation naman si Sandro, hetong mga kakampoque na mga to, ayaw sa spliced pero ayaw rin manuod or magbasa ng buo. Tatanga nyo.","I wonder what's wrong with Sandro saying ‘The peso is not weak because the peso is weak. The peso is weak because the dollar is strong.” Sandro actually has an explanation, but then these kakampoque don't want the spliced but they also don't want to watch or read the full explanation. You all are stupid.",Text,2022-12-10T00:18:00.000Z,Emotional,1,0,0,0,-0.11,None
112,"peso, weak, dollar, strong",Anonymous,2020-07-31T16:00:00.000Z,1046,1245,Philippines,"Funny how critics laugh about what sir Cong. Sandro said, see he's just saying that our money(the peso) is not weak 'coz it's weak, it's just that dollar became strong bec. the US dictates it, but come to think of it, Dollar is a ""Fiat Money"" why? Bec. They don't have gold 👇🏻 https://t.co/TSH4RXtZfy","Funny how critics laugh about what sir Cong. Sandro said, see he's just saying that our money(the peso) is not weak because it's weak, it's just that dollar became strong because the US dictates it, but come to think of it, Dollar is a ""Fiat Money"" why? Because They don't have gold 👇🏻 https://t.co/TSH4RXtZfy","Text,Image",2022-12-10T00:07:00.000Z,Rational,7,2,0,1,-0.1,None
113,"peso, weak, dollar, strong",Anonymous,2017-08-31T16:00:00.000Z,92,516,Unidentified,the peso is not weak because the peso is weak the peso is weak because the dollar is strong,the peso is not weak because the peso is weak the peso is weak because the dollar is strong,Text,2022-12-09T23:44:00.000Z,Rational,1,0,0,0,-0.11,None
114,"peso, dollar, sandro",Anonymous,2006-09-30T16:00:00.000Z,250,270,Unidentified,Mga wa kasabot nalibog kay Sandro. But he’s right. The Ph Peso is weak because the US dollar is strong.,The stupid ones are puzzled by Sandro. But he's right. The Ph Peso is weak because the US dollar is strong.,Text,2022-12-09T22:57:00.000Z,Rational,1,0,0,0,-0.11,None
115,"peso, dollar, sandro",Anonymous,2016-05-31T16:00:00.000Z,3408,17723,Unidentified,"Sandro Marcos says peso is weak not because it’s weak: Dollar is just strong now https://t.co/uh0XfGs8iv

Sandro is not weak because his dad is weak.","Sandro Marcos says peso is weak not because it’s weak: Dollar is just strong now https://t.co/uh0XfGs8iv

Sandro is not weak because his dad is weak.","Text,URL",2022-12-09T22:04:00.000Z,Rational,28,9,3,1,-0.1,None
116,"peso, dollar, sandro",Anonymous,2015-04-30T16:00:00.000Z,1138,538,Unidentified,"Sandro makes sense, kinda, peso is actually weak but to an extent since the dollar is getting strong due to the Federal Reserve Policy.

So yes peso is weak daw but not that weak is what he is saying.","Sandro makes sense, kinda, peso is actually weak but to an extent since the dollar is getting strong due to the Federal Reserve Policy.

So yes peso is weak daw but not that weak is what he is saying.",Text,2022-12-09T20:28:00.000Z,Rational,3,1,0,0,-0.11,None
117,"peso, weak, dollar, strong",Anonymous,2014-03-31T16:00:00.000Z,442,268,Unidentified,"The peso is not weak because the peso is weak, the peso is weak because the dollar is strong and I am strong when I am on your shoulder, you raise me up to more than I can be.","The peso is not weak because the peso is weak, the peso is weak because the dollar is strong and I am strong when I am on your shoulder, you raise me up to more than I can be.",Text,2022-12-09T20:13:00.000Z,Emotional,10,0,1,2,-0.09,None
118,"peso, weak, dollar, strong",Anonymous,2020-08-31T16:00:00.000Z,123,143,Unidentified,THE PESO IS WEAK BECAUSE THE DOLLAR IS STRONG &gt;&gt;&gt; PEOPLE DIE IF THEY ARE KILLED,THE PESO IS WEAK BECAUSE THE DOLLAR IS STRONG &gt;&gt;&gt; PEOPLE DIE IF THEY ARE KILLED,Text,2022-12-09T18:55:00.000Z,Emotional,0,0,0,0,-0.11,None
119,"peso, weak, dollar, strong",Anonymous,2011-09-30T16:00:00.000Z,432,443,Unidentified,I would like to make one thing clear. The peso is weak because the dollar is strong! Tapos makikita mo presidente nagliliwaliw sa Singapore kasama ng anak nya at mga barkada nito. Mag trabaho ka naman! Wag puro pasarap!,I would like to make one thing clear. The peso is weak because the dollar is strong! And then you will see the president enjoying in Singapore with his children and friends. Go to work! Don't just enjoy yourself!,Text,2022-12-09T18:25:00.000Z,Emotional,75,0,21,0,-0.11,None
120,"peso, weak, dollar, strong",Anonymous,2021-08-31T16:00:00.000Z,1605,1043,Unidentified,Ito po ang resulta ng wala ka ng mabibilhan na makakapagbigay ng saya katulad ng Jabee kaso nagmahal na siya kasi nga The peso ₱₱ is not weak 🙅‍♀️😩 because the peso ₱₱ is weak😪. The peso ₱₱ is weak 🥱😫 because the dollar 💵🤑 is strong 💪💪.,This is the result of having nowhere to buy that will give you the happiness that Jabee gives you because it got expensive since The peso ₱₱ is not weak 🙅‍♀️😩 because the peso ₱₱ is weak😪. The peso ₱₱ is weak 🥱😫 because the dollar 💵🤑 is strong 💪💪.,"Text,Quote",2022-12-09T18:04:00.000Z,Emotional,0,0,0,0,-0.11,https://twitter.com/AltStarMagic/status/1579736320091774976
121,"peso, weak, dollar, strong",Anonymous,2020-09-30T16:00:00.000Z,989,2756,Unidentified,The peso is not weak because the peso is weak. The peso is weak because the dollar is strong. https://t.co/2kOkDiU0AQ,The peso is not weak because the peso is weak. The peso is weak because the dollar is strong. https://t.co/2kOkDiU0AQ,"Text,Image",2022-12-09T17:47:00.000Z,"Rational,Emotional",1,0,0,0,-0.11,None
122,"peso, dollar, sandro",Media,2022-08-31T16:00:00.000Z,76,101,Unidentified,1st District Representative of Ilocos Norte Sandro Marcos spoke out about the peso dollar rate. 'Peso is not weak because peso is weak'. 'The Peso is weak because the dollar is strong'. https://t.co/jeXk9EVxm8,1st District Representative of Ilocos Norte Sandro Marcos spoke out about the peso dollar rate. 'Peso is not weak because peso is weak'. 'The Peso is weak because the dollar is strong'. https://t.co/jeXk9EVxm9,"Text,Video",2022-12-09T17:33:00.000Z,Rational,36,3,15,7,-0.03,None
123,"peso, weak, dollar, strong",Anonymous,2020-06-30T16:00:00.000Z,124,17,Unidentified,the peso is the weak. the dollar is the strong. 😝,the peso is the weak. the dollar is the strong. 😝,Text,2022-12-09T17:04:00.000Z,"Rational,Emotional",0,0,0,0,-0.11,None
124,"peso, weak, dollar, strong",Media,2007-08-31T16:00:00.000Z,1810,3731332,Philippines,"#ICYMI: ""The peso is not weak, because the peso is weak. The peso is weak because the dollar is strong,"" Marcos said. https://t.co/yx8Dhz4kbx","#ICYMI: ""The peso is not weak, because the peso is weak. The peso is weak because the dollar is strong,"" Marcos said. https://t.co/yx8Dhz4kbx","Text,URL",2022-12-09T17:00:00.000Z,Rational,64,62,13,22,0.14,None
125,"peso, dollar, sandro",Identified,2004-09-30T16:00:00.000Z,765,2582,Philippines,"BBM: We have no territorial conflict with China. What we have is China claiming territory that belongs to the Philippines.

Sandro: The peso is not weak because the peso is weak. The peso is weak because the dollar is strong.

Imee: Never seen GOLD!

Imelda: We have 7000 tons!","BBM: We have no territorial conflict with China. What we have is China claiming territory that belongs to the Philippines.

Sandro: The peso is not weak because the peso is weak. The peso is weak because the dollar is strong.

Imee: Never seen GOLD!

Imelda: We have 7000 tons!",Text,2022-12-09T16:53:00.000Z,Emotional,11,0,0,0,-0.11,None
126,"peso, weak, dollar, strong",Anonymous,2022-04-30T16:00:00.000Z,586,609,Unidentified,the peso is not weak because the peso is weak the peso is weak because the dollar is strong,the peso is not weak because the peso is weak the peso is weak because the dollar is strong,Text,2022-12-09T16:21:00.000Z,Rational,0,1,0,0,-0.11,None
127,"peso, weak, dollar, strong",Anonymous,2018-09-30T16:00:00.000Z,34,57,Unidentified,"peso not weak, dollar is strong 🫶🏻🫶🏻🫶🏻","peso not weak, dollar is strong 🫶🏻🫶🏻🫶🏻",Text,2022-12-09T16:06:00.000Z,"Rational,Emotional",1,0,0,0,-0.11,None
128,"peso, weak, dollar, strong",Anonymous,2021-04-30T16:00:00.000Z,1753,45,Unidentified,"""The peso is not weak because the peso is weak. The peso is weak because the dollar is strong."" https://t.co/1nF6PhgCXw","""The peso is not weak because the peso is weak. The peso is weak because the dollar is strong."" https://t.co/1nF6PhgCXw","Text,Image",2022-11-10T15:59:00.000Z,"Rational,Emotional",1,1,0,0,-0.11,None
129,"peso, weak, dollar, strong",Anonymous,2018-01-31T16:00:00.000Z,329,329,Philippines,"not gonna lie tho.. if you read the whole article, may point ata si s4ndro sa ""peso is weak because the dollar is strong"" statement niya","not gonna lie tho.. if you read the whole article, sandro has a point in his statement about ""peso is weak because the dollar is strong""",Text,2022-11-10T15:46:00.000Z,Rational,4,1,0,0,-0.11,None
