ID,keywords,acountType,joinedDate,following,zFollowing,followers,zFollowers,location,tweet,translatedTweet,tweetType,datePosted,contentType,likes,zLikes,replies,zReplies,retweets,zRetweets,quotes,zQuotes,quotedTweet,tokens,stemTokens,lemmaTokens
35,"peso, weak, dollar, strong",Anonymous,2022-10-31T16:00:00.000Z,743,0.22,778,-0.16,Unidentified,the 😤 peso 🤑 is 🦶 not 🚫 weak 😫 because 😁 the 👯 peso 🤑 is 🥓 weak 😫 the 👀 peso 🤑 is 😒 weak 😫 because 🤢 the 🗣️ dollar 💵 is 😐 strong 💪,the 😤 peso 🤑 is 🦶 not 🚫 weak 😫 because 😁 the 👯 peso 🤑 is 🥓 weak 😫 the 👀 peso 🤑 is 😒 weak 😫 because 🤢 the 🗣️ dollar 💵 is 😐 strong 💪,Text,2022-10-20T07:00:00.000Z,Emotional,2,-0.13,1,-0.11,0,-0.18,0,-0.11,None,"[':face_with_steam_from_nose:', 'peso', ':money-mouth_face:', ':foot:', ':prohibited:', 'weak', ':tired_face:', ':beaming_face_with_smiling_eyes:', ':people_with_bunny_ears:', 'peso', ':money-mouth_face:', ':bacon:', 'weak', ':tired_face:', ':eyes:', 'peso', ':money-mouth_face:', ':unamused_face:', 'weak', ':tired_face:', ':nauseated_face:', ':speaking_head:', 'dollar', ':dollar_banknote:', ':neutral_face:', 'strong', ':flexed_biceps:']","[':face_with_steam_from_nose:', 'peso', ':money-mouth_face:', ':foot:', ':prohibited:', 'weak', ':tired_face:', ':beaming_face_with_smiling_eyes:', ':people_with_bunny_ears:', 'peso', ':money-mouth_face:', ':bacon:', 'weak', ':tired_face:', ':eyes:', 'peso', ':money-mouth_face:', ':unamused_face:', 'weak', ':tired_face:', ':nauseated_face:', ':speaking_head:', 'dollar', ':dollar_banknote:', ':neutral_face:', 'strong', ':flexed_biceps:']","[':face_with_steam_from_nose:', 'peso', ':money-mouth_face:', ':foot:', ':prohibited:', 'weak', ':tired_face:', ':beaming_face_with_smiling_eyes:', ':people_with_bunny_ears:', 'peso', ':money-mouth_face:', ':bacon:', 'weak', ':tired_face:', ':eyes:', 'peso', ':money-mouth_face:', ':unamused_face:', 'weak', ':tired_face:', ':nauseated_face:', ':speaking_head:', 'dollar', ':dollar_banknote:', ':neutral_face:', 'strong', ':flexed_biceps:']"
36,"peso, weak, dollar, strong",Anonymous,2022-09-30T16:00:00.000Z,229,-0.55,81,-0.16,Unidentified,HAPPENING NOW: “The peso is not weak because the peso is weak. The peso is weak because the dollar is strong.” https://t.co/TvNmhXMN7Z,HAPPENING NOW: “The peso is not weak because the peso is weak. The peso is weak because the dollar is strong.” https://t.co/TvNmhXMN7Z,"Text,Image",2022-10-20T04:43:00.000Z,Rational,14,-0.06,0,-0.13,0,-0.18,0,-0.11,None,"['happening', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['happen', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['happen', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']"
37,"peso, weak, dollar, strong",Anonymous,2021-10-31T16:00:00.000Z,1081,0.73,4127,-0.15,Unidentified,"""peso is not weak because peso is weak, peso is weak because the dollar is strong""","""peso is not weak because peso is weak, peso is weak because the dollar is strong""",Text,2022-10-19T17:04:00.000Z,Rational,3,-0.12,0,-0.13,1,-0.12,0,-0.11,None,"['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']"
38,"peso, weak, dollar, strong",Identified,2017-08-31T16:00:00.000Z,351,-0.36,740,-0.16,Philippines,The PESO is not WEAK because PESO is WEAK. The PESO is WEAK because DOLLAR is STRONG.,The PESO is not WEAK because PESO is WEAK. The PESO is WEAK because DOLLAR is STRONG.,Text,2022-10-19T15:04:00.000Z,Rational,0,-0.14,0,-0.13,0,-0.18,0,-0.11,None,"['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']"
39,"peso, weak, dollar, strong",Anonymous,2010-06-30T16:00:00.000Z,234,-0.54,152,-0.16,Philippines,"Ban K-stuff? Another story of the Peso is weak because the Dollar is strong. Same vibes. Sa halip na ayusin ang sarili, pupunahin ang pag-angat ng iba. Classic crab mentality.","Ban K-stuff? Another story of the Peso is weak because the Dollar is strong. Same vibes. Instead of fixing themselves, they instead criticize the improvement of others. Classic crab mentality.",Text,2022-10-19T05:53:00.000Z,"Rational, Emotional",3,-0.12,0,-0.13,0,-0.18,0,-0.11,None,"['ban', 'kstuff', 'another', 'story', 'peso', 'weak', 'dollar', 'strong', 'vibes', 'instead', 'fixing', 'instead', 'criticize', 'improvement', 'others', 'classic', 'crab', 'mentality']","['ban', 'kstuff', 'anoth', 'stori', 'peso', 'weak', 'dollar', 'strong', 'vibe', 'instead', 'fix', 'instead', 'critic', 'improv', 'other', 'classic', 'crab', 'mental']","['ban', 'kstuff', 'another', 'story', 'peso', 'weak', 'dollar', 'strong', 'vibes', 'instead', 'fix', 'instead', 'criticize', 'improvement', 'others', 'classic', 'crab', 'mentality']"
40,"peso, weak, dollar, strong",Anonymous,2017-10-31T16:00:00.000Z,724,0.19,697,-0.16,Unidentified,might have to update mah comm prices in the near future bc the peso is not weak because the peso is weak. the peso is weak becuase the dollar is strong 🤪🤡🤑💸❤️💚❤️💚❤️💚,might have to update my comm prices in the near future because the peso is not weak because the peso is weak. the peso is weak because the dollar is strong 🤪🤡🤑💸❤️💚❤️💚❤️💚,Text,2022-10-19T03:05:00.000Z,Emotional,3,-0.12,0,-0.13,0,-0.18,0,-0.11,None,"['might', 'update', 'comm', 'prices', 'near', 'future', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong', ':zany_face:', ':clown_face:', ':money-mouth_face:', ':money_with_wings:', ':red_heart:', ':green_heart:', ':red_heart:', ':green_heart:', ':red_heart:', ':green_heart:']","['might', 'updat', 'comm', 'price', 'near', 'futur', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong', ':zany_face:', ':clown_face:', ':money-mouth_face:', ':money_with_wings:', ':red_heart:', ':green_heart:', ':red_heart:', ':green_heart:', ':red_heart:', ':green_heart:']","['might', 'update', 'comm', 'price', 'near', 'future', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong', ':zany_face:', ':clown_face:', ':money-mouth_face:', ':money_with_wings:', ':red_heart:', ':green_heart:', ':red_heart:', ':green_heart:', ':red_heart:', ':green_heart:']"
41,"peso, weak, dollar, strong",Identified,2009-11-30T16:00:00.000Z,183,-0.61,90910,0.01,Philippines,"And while the peso is weak bc the dollar is strong, most of the goods are also getting strongly unaffordable. Remember pancit canton when it was just Php6.00? Busog ka na sa Php20 mo noon. Ngayon kahit yung isang basong coke Php50+ na, eh 25 lang yung litro dati eh. Hays","And while the peso is weak bc the dollar is strong, most of the goods are also getting strongly unaffordable. Remember pancit canton when it was just Php6.00? You are already full with your Php20 back then. Nowadays one glass of coke is already Php50+, but 1 liter is only 25 back then. Hays",Text,2022-10-18T13:59:00.000Z,Emotional,32,0.05,0,-0.13,1,-0.12,0,-0.11,None,"['peso', 'weak', 'bc', 'dollar', 'strong', 'goods', 'also', 'getting', 'strongly', 'unaffordable', 'remember', 'pancit', 'canton', 'php', '600', 'already', 'full', 'php', '20', 'back', 'nowadays', 'one', 'glass', 'coke', 'already', 'php', '50', '1', 'liter', '25', 'back', 'hays']","['peso', 'weak', 'bc', 'dollar', 'strong', 'good', 'also', 'get', 'strong', 'unafford', 'rememb', 'pancit', 'canton', 'php', '600', 'alreadi', 'full', 'php', '20', 'back', 'nowaday', 'one', 'glass', 'coke', 'alreadi', 'php', '50', '1', 'liter', '25', 'back', 'hay']","['peso', 'weak', 'bc', 'dollar', 'strong', 'goods', 'also', 'get', 'strongly', 'unaffordable', 'remember', 'pancit', 'canton', 'php', '600', 'already', 'full', 'php', '20', 'back', 'nowadays', 'one', 'glass', 'coke', 'already', 'php', '50', '1', 'liter', '25', 'back', 'hay']"
42,"peso, weak, dollar, strong",Anonymous,2021-10-31T16:00:00.000Z,1113,0.77,391,-0.16,Unidentified,what do you mean by we? dont you know that the peso is not weak because the peso is weak. the peso is weak because the dollar is strong. dont we-we us,what do you mean by we? dont you know that the peso is not weak because the peso is weak. the peso is weak because the dollar is strong. dont we-we us,Text,2022-10-18T11:03:00.000Z,Emotional,0,-0.14,0,-0.13,0,-0.18,0,-0.11,None,"['mean', 'dont', 'know', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong', 'dont', 'wewe', 'us']","['mean', 'dont', 'know', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong', 'dont', 'wew', 'us']","['mean', 'dont', 'know', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong', 'dont', 'wewe', 'us']"
43,"peso, weak, dollar, strong",Anonymous,2009-10-31T16:00:00.000Z,873,0.42,808,-0.16,Unidentified,"There is a saying, na di maintindihan ng nga Pinklawan; ""the peso is weak, not because it is weak. It is weak because the dollar is strong."" Tara mag Japan na tayo. https://t.co/PUGwfEhhjd","There is a saying, that the Pinklawan can't understand; ""the peso is weak, not because it is weak. It is weak because the dollar is strong."" Come on, let's go to Japan. https://t.co/PUGwfEhhjd","Text,Image",2022-10-18T00:30:00.000Z,Emotional,9,-0.09,1,-0.11,3,0.0,1,-0.1,None,"['saying', 'pinklawan', 'cant', 'understand', 'peso', 'weak', 'weak', 'weak', 'dollar', 'strong', 'come', 'lets', 'go', 'japan']","['say', 'pinklawan', 'cant', 'understand', 'peso', 'weak', 'weak', 'weak', 'dollar', 'strong', 'come', 'let', 'go', 'japan']","['say', 'pinklawan', 'cant', 'understand', 'peso', 'weak', 'weak', 'weak', 'dollar', 'strong', 'come', 'let', 'go', 'japan']"
44,"peso, weak, dollar, strong",Anonymous,2021-12-31T16:00:00.000Z,210,-0.57,169,-0.16,Unidentified,The peso is weak not because the peso is weak. The peso is weak because the dollar is strong https://t.co/gJzOQzIykv,The peso is weak not because the peso is weak. The peso is weak because the dollar is strong https://t.co/gJzOQzIykv,"Text,Image",2022-10-17T12:51:00.000Z,Rational,1,-0.14,2,-0.09,0,-0.18,0,-0.11,None,"['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']"
45,"peso, weak, dollar, strong",Anonymous,2022-03-31T16:00:00.000Z,66,-0.79,15,-0.16,Unidentified,nasa ₱3k yung the link+ sa beyond live 😢 laurd gusto ko lang naman sumaya pero the peso is not weak bcos it's weak. the peso is weak bcos the dollar is strong (bwakanang pinoy nga pala ako) 💔,The link+ in beyond live is ₱3k 😢 laurd I just want to be happy but the peso is not weak because it's weak. the peso is weak because the dollar is strong (bwakanang oh yeah I am pinoy) 💔,Text,2022-10-17T12:23:00.000Z,Emotional,0,-0.14,0,-0.13,0,-0.18,0,-0.11,None,"['link', 'beyond', 'live', '₱', '3k', ':crying_face:', 'laurd', 'want', 'happy', 'peso', 'weak', 'weak', 'peso', 'weak', 'dollar', 'strong', 'bwakanang', 'oh', 'yeah', 'pinoy', ':broken_heart:']","['link', 'beyond', 'live', '₱', '3k', ':crying_face:', 'laurd', 'want', 'happi', 'peso', 'weak', 'weak', 'peso', 'weak', 'dollar', 'strong', 'bwakanang', 'oh', 'yeah', 'pinoy', ':broken_heart:']","['link', 'beyond', 'live', '₱', '3k', ':crying_face:', 'laurd', 'want', 'happy', 'peso', 'weak', 'weak', 'peso', 'weak', 'dollar', 'strong', 'bwakanang', 'oh', 'yeah', 'pinoy', ':broken_heart:']"
46,"peso, weak, dollar, strong",Anonymous,2014-04-30T16:00:00.000Z,336,-0.39,485,-0.16,Unidentified,The peso is not weak because the peso is weak. The peso is weak because the dollar is strong. https://t.co/uKWWRQiRJW,The peso is not weak because the peso is weak. The peso is weak because the dollar is strong. https://t.co/uKWWRQiRJW,"Text,Image,Quote",2022-10-17T11:13:00.000Z,Rational,0,-0.14,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/JYPETWICE/status/1581887735631155200,"['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']"
47,"peso, weak, dollar, strong",Anonymous,2020-05-31T16:00:00.000Z,109,-0.72,91,-0.16,Unidentified,🔥🔥🔥🔥🔥🚒 Sunog! 🤣The peso is weak because the dollar is strong.,🔥🔥🔥🔥🔥🚒 Burn! 🤣The peso is weak because the dollar is strong.,Text,2022-10-17T02:31:00.000Z,Emotional,0,-0.14,0,-0.13,0,-0.18,0,-0.11,None,"[':fire:', ':fire:', ':fire:', ':fire_engine:', 'burn', ':rolling_on_the_floor_laughing:', 'peso', 'weak', 'dollar', 'strong']","[':fire:', ':fire:', ':fire:', ':fire_engine:', 'burn', ':rolling_on_the_floor_laughing:', 'peso', 'weak', 'dollar', 'strong']","[':fire:', ':fire:', ':fire:', ':fire_engine:', 'burn', ':rolling_on_the_floor_laughing:', 'peso', 'weak', 'dollar', 'strong']"
48,"peso, weak, dollar, strong",Anonymous,2021-12-31T16:00:00.000Z,130,-0.69,73,-0.16,Unidentified,the peso 🤑 is weak 😰 because the 💰 peso is not 🚫 weak 😓. the peso is weak because the dollar 💵 is strong 💪,the peso 🤑 is weak 😰 because the 💰 peso is not 🚫 weak 😓. the peso is weak because the dollar 💵 is strong 💪,Text,2022-10-16T14:03:00.000Z,Emotional,0,-0.14,0,-0.13,0,-0.18,0,-0.11,None,"['peso', ':money-mouth_face:', 'weak', ':anxious_face_with_sweat:', ':money_bag:', 'peso', ':prohibited:', 'weak', ':downcast_face_with_sweat:', 'peso', 'weak', 'dollar', ':dollar_banknote:', 'strong', ':flexed_biceps:']","['peso', ':money-mouth_face:', 'weak', ':anxious_face_with_sweat:', ':money_bag:', 'peso', ':prohibited:', 'weak', ':downcast_face_with_sweat:', 'peso', 'weak', 'dollar', ':dollar_banknote:', 'strong', ':flexed_biceps:']","['peso', ':money-mouth_face:', 'weak', ':anxious_face_with_sweat:', ':money_bag:', 'peso', ':prohibited:', 'weak', ':downcast_face_with_sweat:', 'peso', 'weak', 'dollar', ':dollar_banknote:', 'strong', ':flexed_biceps:']"
49,"peso, weak, dollar, strong",Anonymous,2021-09-30T16:00:00.000Z,1472,1.31,1096,-0.16,Unidentified,"Guys always remember na the peso is not weak bcuz the peso weak, the peso is week bcuz the dollar is strong 🫶","Guys always remember na the peso is not weak because the peso weak, the peso is week because the dollar is strong 🫶",Text,2022-10-16T07:01:00.000Z,Emotional,5,-0.11,7,0.02,0,-0.18,0,-0.11,None,"['guys', 'always', 'remember', 'na', 'peso', 'weak', 'peso', 'weak', 'peso', 'week', 'dollar', 'strong', ':heart_hands:']","['guy', 'alway', 'rememb', 'na', 'peso', 'weak', 'peso', 'weak', 'peso', 'week', 'dollar', 'strong', ':heart_hands:']","['guy', 'always', 'remember', 'na', 'peso', 'weak', 'peso', 'weak', 'peso', 'week', 'dollar', 'strong', ':heart_hands:']"
50,"peso, weak, dollar, strong",Identified,2010-01-31T16:00:00.000Z,200,-0.59,106,-0.16,Unidentified,"Ma, ang daming afam ngayon sa MOA. As in. Feeling ko nandito na ang mag-aahon sa pamilya ko sa laylayan ng lipunan.

Pero mas ramdam kong kaya sila dagsa dito dahil alam nilang the peso is weak because the dollar is strong. Eme 🤡","Ma, there are so many afam in MOA. As in. I feel like the one who will save my family from poverty is here.

But it's more possible that many of them are here because they know that the peso is weak because the dollar is strong. Eme 🤡",Text,2022-10-16T04:41:00.000Z,Emotional,0,-0.14,0,-0.13,0,-0.18,0,-0.11,None,"['many', 'afam', 'moa', 'feel', 'like', 'one', 'save', 'family', 'poverty', 'possible', 'many', 'know', 'peso', 'weak', 'dollar', 'strong', 'eme', ':clown_face:']","['mani', 'afam', 'moa', 'feel', 'like', 'one', 'save', 'famili', 'poverti', 'possibl', 'mani', 'know', 'peso', 'weak', 'dollar', 'strong', 'eme', ':clown_face:']","['many', 'afam', 'moa', 'feel', 'like', 'one', 'save', 'family', 'poverty', 'possible', 'many', 'know', 'peso', 'weak', 'dollar', 'strong', 'eme', ':clown_face:']"
51,"peso, dollar, sandro",Identified,2013-02-28T16:00:00.000Z,73,-0.78,26,-0.16,Unidentified,"Gone in a snap:' OFW families bear brunt of weak peso

https://t.co/lVR10TXlXb

""The peso is not weak, because the peso is weak. The peso is weak because the dollar is strong."" - Sandro Marcos, Dev't Studies graduate from the London School of Economics

https://t.co/NF8p7pxjWX -","Gone in a snap:' OFW families bear brunt of weak peso

https://t.co/lVR10TXlXb

""The peso is not weak, because the peso is weak. The peso is weak because the dollar is strong."" - Sandro Marcos, Dev't Studies graduate from the London School of Economics

https://t.co/NF8p7pxjWX -","Text,URL",2022-10-16T04:09:00.000Z,Rational,0,-0.14,0,-0.13,0,-0.18,0,-0.11,None,"['gone', 'snap', 'ofw', 'families', 'bear', 'brunt', 'weak', 'peso', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong', 'sandro', 'marcos', 'devt', 'studies', 'graduate', 'london', 'school', 'economics']","['gone', 'snap', 'ofw', 'famili', 'bear', 'brunt', 'weak', 'peso', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong', 'sandro', 'marco', 'devt', 'studi', 'graduat', 'london', 'school', 'econom']","['go', 'snap', 'ofw', 'families', 'bear', 'brunt', 'weak', 'peso', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong', 'sandro', 'marcos', 'devt', 'study', 'graduate', 'london', 'school', 'economics']"
52,"peso, dollar, sandro",Anonymous,2013-07-31T16:00:00.000Z,1095,0.75,43878,-0.08,Unidentified,"Sandro Marcos got it right. The way he said is just kinda funny, but still right

The Peso is weak not because the Peso is weak but because the Dollar is strong

Peso is actually holding up well vs the other major currencies like Euro Yen etc https://t.co/h13sRydhYV","Sandro Marcos got it right. The way he said is just kinda funny, but still right

The Peso is weak not because the Peso is weak but because the Dollar is strong

Peso is actually holding up well vs the other major currencies like Euro Yen etc https://t.co/h13sRydhYV","Text,Image",2022-10-15T23:43:00.000Z,Rational,48,0.15,4,-0.05,15,0.69,0,-0.11,None,"['sandro', 'marcos', 'got', 'right', 'way', 'said', 'kinda', 'funny', 'still', 'right', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong', 'peso', 'actually', 'holding', 'well', 'vs', 'major', 'currencies', 'like', 'euro', 'yen', 'etc']","['sandro', 'marco', 'got', 'right', 'way', 'said', 'kinda', 'funni', 'still', 'right', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong', 'peso', 'actual', 'hold', 'well', 'vs', 'major', 'currenc', 'like', 'euro', 'yen', 'etc']","['sandro', 'marcos', 'get', 'right', 'way', 'say', 'kinda', 'funny', 'still', 'right', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong', 'peso', 'actually', 'hold', 'well', 'vs', 'major', 'currencies', 'like', 'euro', 'yen', 'etc']"
53,"peso, weak, dollar, strong",Identified,2022-09-30T16:00:00.000Z,1,-0.89,2,-0.16,Unidentified,‘The peso is weak because  the dollar is strong’ https://t.co/rGFFFT9Hi3,‘The peso is weak because  the dollar is strong’ https://t.co/rGFFFT9Hi4,"Text,URL",2022-10-15T14:29:00.000Z,Rational,0,-0.14,0,-0.13,0,-0.18,0,-0.11,None,"['‘', 'peso', 'weak', 'dollar', 'strong', '’']","['‘', 'peso', 'weak', 'dollar', 'strong', '’']","['‘', 'peso', 'weak', 'dollar', 'strong', '’']"
54,"peso, weak, dollar, strong",Anonymous,2022-03-31T16:00:00.000Z,72,-0.78,71,-0.16,Unidentified,the peso is weak because the dollar is strong 😍,the peso is weak because the dollar is strong 😍,Text,2022-10-15T11:49:00.000Z,Emotional,3,-0.12,0,-0.13,0,-0.18,0,-0.11,None,"['peso', 'weak', 'dollar', 'strong', ':smiling_face_with_heart-eyes:']","['peso', 'weak', 'dollar', 'strong', ':smiling_face_with_heart-eyes:']","['peso', 'weak', 'dollar', 'strong', ':smiling_face_with_heart-eyes:']"
55,"peso, weak, dollar, strong",Identified,2016-12-31T16:00:00.000Z,73,-0.78,25,-0.16,Unidentified,"The peso is not weak because the peso is weak, the peso is weak because the dollar is strong","The peso is not weak because the peso is weak, the peso is weak because the dollar is strong",Text,2022-10-15T11:24:00.000Z,Rational,0,-0.14,0,-0.13,0,-0.18,0,-0.11,None,"['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']"
56,"peso, weak, dollar, strong",Anonymous,2021-11-30T16:00:00.000Z,60,-0.8,23,-0.16,Unidentified,The peso is weak because the dollar is strong. 💯💯,The peso is weak because the dollar is strong. 💯💯,Text,2022-10-15T03:37:00.000Z,Rational,0,-0.14,1,-0.11,0,-0.18,0,-0.11,None,"['peso', 'weak', 'dollar', 'strong', ':hundred_points:', ':hundred_points:']","['peso', 'weak', 'dollar', 'strong', ':hundred_points:', ':hundred_points:']","['peso', 'weak', 'dollar', 'strong', ':hundred_points:', ':hundred_points:']"
57,"peso, weak, dollar, strong",Anonymous,2022-10-31T16:00:00.000Z,0,-0.89,0,-0.16,Unidentified,"the peso is not weak bcs the peso is weak, the peso is weak bcs the dollar is strong","the peso is not weak because the peso is weak, the peso is weak because the dollar is strong",Text,2022-10-14T17:01:00.000Z,Rational,0,-0.14,0,-0.13,0,-0.18,0,-0.11,None,"['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']"
58,"peso, weak, dollar, strong",Anonymous,2022-09-30T16:00:00.000Z,126,-0.7,202,-0.16,Unidentified,the peso is not weak because the peso is weak. the peso is weak because the dollar is strong.,the peso is not weak because the peso is weak. the peso is weak because the dollar is strong.,Text,2022-10-14T17:00:00.000Z,Rational,0,-0.14,0,-0.13,0,-0.18,0,-0.11,None,"['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']"
59,"peso, weak, dollar, strong",Anonymous,2020-06-30T16:00:00.000Z,1453,1.28,1152,-0.16,Philippines,the peso is not weak because the peso is weak the peso is weak because the dollar is strong,the peso is not weak because the peso is weak the peso is weak because the dollar is strong,Text,2022-10-14T16:28:00.000Z,Rational,1,-0.14,0,-0.13,0,-0.18,0,-0.11,None,"['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']"
60,"peso, dollar, sandro",Anonymous,2020-05-31T16:00:00.000Z,259,-0.5,190,-0.16,Philippines,"The peso is not weak because the peso is weak, the peso is weak because the dollar is strong amputa HAHAHAHAHAHAHA Lt Gago sana naging comedian ka nlng po nakaka entertain ka masyado yung utak niyo kasi kajolen lang eh charot HAHAHAHAHAHA LT NIYO SIR SANDRO LABYU LODI ✌️💚❤️😅","The peso is not weak because the peso is weak, the peso is weak because the dollar is strong amputa HAHAHAHAHAHAHA Lt Gago sana naging comedian ka nlng po nakaka entertain ka masyado yung utak niyo kasi kajolen lang eh charot HAHAHAHAHAHA LT NIYO SIR SANDRO LABYU LODI ✌️💚❤️😅",Text,2022-10-14T15:52:00.000Z,Emotional,0,-0.14,0,-0.13,0,-0.18,0,-0.11,None,"['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong', 'amputa', 'hahahahahahaha', 'lt', 'gago', 'sana', 'naging', 'comedian', 'ka', 'nlng', 'po', 'nakaka', 'entertain', 'ka', 'masyado', 'yung', 'utak', 'niyo', 'kasi', 'kajolen', 'lang', 'eh', 'charot', 'hahahahahaha', 'lt', 'niyo', 'sir', 'sandro', 'labyu', 'lodi', ':victory_hand:', ':green_heart:', ':red_heart:', ':grinning_face_with_sweat:']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong', 'amputa', 'hahahahahahaha', 'lt', 'gago', 'sana', 'nage', 'comedian', 'ka', 'nlng', 'po', 'nakaka', 'entertain', 'ka', 'masyado', 'yung', 'utak', 'niyo', 'kasi', 'kajolen', 'lang', 'eh', 'charot', 'hahahahahaha', 'lt', 'niyo', 'sir', 'sandro', 'labyu', 'lodi', ':victory_hand:', ':green_heart:', ':red_heart:', ':grinning_face_with_sweat:']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong', 'amputa', 'hahahahahahaha', 'lt', 'gago', 'sana', 'nag', 'comedian', 'ka', 'nlng', 'po', 'nakaka', 'entertain', 'ka', 'masyado', 'yung', 'utak', 'niyo', 'kasi', 'kajolen', 'lang', 'eh', 'charot', 'hahahahahaha', 'lt', 'niyo', 'sir', 'sandro', 'labyu', 'lodi', ':victory_hand:', ':green_heart:', ':red_heart:', ':grinning_face_with_sweat:']"
61,"peso, weak, dollar, strong",Anonymous,2020-05-31T16:00:00.000Z,607,0.02,150,-0.16,Unidentified,the peso is not weak bc the peso is weak the peso is weak bc the dollar is strong,the peso is not weak because the peso is weak the peso is weak because the dollar is strong,Text,2022-10-14T14:27:00.000Z,Rational,1,-0.14,0,-0.13,0,-0.18,0,-0.11,None,"['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']"
62,"peso, weak, dollar, strong",Anonymous,2017-10-31T16:00:00.000Z,670,0.11,72,-0.16,Philippines,The peso is weak because the dollar is strong.,The peso is weak because the dollar is strong.,"Text,Quote",2022-10-14T12:43:00.000Z,Rational,0,-0.14,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/rowena_guanzon/status/1580727954891767808,"['peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'dollar', 'strong']"
63,"peso, weak, dollar, strong",Anonymous,2021-02-28T16:00:00.000Z,227,-0.55,235,-0.16,Philippines,“the peso is not weak because the peso is weak. the peso is weak because the dollar is strong.” ano daw💀💀,“the peso is not weak because the peso is weak. the peso is weak because the dollar is strong.” what did he say💀💀,Text,2022-10-14T11:25:00.000Z,Emotional,0,-0.14,1,-0.11,0,-0.18,0,-0.11,None,"['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong', 'say', ':skull:', ':skull:']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong', 'say', ':skull:', ':skull:']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong', 'say', ':skull:', ':skull:']"
